"Date","Price","Open","High","Low","Vol.","Change %"
"2021-12-13","151.06","150.39","151.30","150.31","17.86M","1.48%"
"2021-12-10","148.86","149.92","150.24","148.81","14.30M","-0.24%"
"2021-12-09","149.22","149.34","149.84","148.48","17.54M","0.56%"
"2021-12-08","148.39","150.47","150.48","148.36","33.63M","-1.73%"
"2021-12-07","151.00","151.72","152.52","150.86","22.12M","-0.81%"
"2021-12-06","152.23","154.05","154.35","151.93","30.92M","-1.37%"
"2021-12-03","154.35","151.68","155.12","151.35","34.43M","1.19%"
"2021-12-02","152.53","152.93","152.99","150.76","17.75M","0.12%"
"2021-12-01","152.34","150.49","152.41","149.79","30.84M","0.49%"
"2021-11-30","151.59","150.83","152.07","150.25","31.48M","1.52%"
"2021-11-29","149.32","148.31","149.63","148.17","23.23M","-0.80%"
"2021-11-26","150.53","148.83","150.68","148.67","20.06M","2.53%"
"2021-11-24","146.82","144.94","146.82","144.79","13.77M","1.61%"
"2021-11-23","144.50","145.93","146.11","144.50","15.32M","-1.45%"
"2021-11-22","146.62","147.40","147.64","146.13","15.27M","-1.17%"
"2021-11-19","148.36","147.58","148.60","147.58","14.02M","1.06%"
"2021-11-18","146.81","145.99","146.90","145.95","11.06M","0.38%"
"2021-11-17","146.26","144.57","146.29","144.46","14.24M","0.79%"
"2021-11-16","145.11","145.69","146.38","144.85","13.00M","-0.25%"
"2021-11-15","145.48","146.89","146.96","145.22","15.23M","-1.26%"
"2021-11-12","147.33","148.00","148.51","146.76","12.71M","-0.44%"
"2021-11-11","147.98","148.51","148.65","147.89","5.55M","-0.15%"
"2021-11-10","148.20","150.83","150.93","147.03","28.17M","-1.83%"
"2021-11-09","150.96","150.80","151.77","150.64","23.43M","1.30%"
"2021-11-08","149.02","148.96","149.28","148.51","12.08M","-0.19%"
"2021-11-05","149.30","148.52","149.58","148.13","21.51M","1.50%"
"2021-11-04","147.10","145.87","147.36","145.85","15.92M","1.05%"
"2021-11-03","145.57","147.82","147.98","145.53","20.64M","-1.03%"
"2021-11-02","147.09","146.50","147.57","146.50","9.84M","0.44%"
"2021-11-01","146.44","145.80","146.76","145.70","18.04M","-0.85%"
